Pair.Name,Ligand,Receptor,Dataset,Annotation,Location  Ligand,GO,References,Julia TRUE/FALSE/NA,Julia literature reference,Julia comment,checked,,,,,,,,,,,,,
Dchs1-Fat4,Dchs1,Fat4,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 26116666,"""putative binding partner""",,,,,,,,,,,,,,20.12
Cxcl1-Cxcr1,Cxcl1,Cxcr1,Ramilowski,Not Expressed,Secreted,Chemokine,"12964882,12964882,1379593,1379593, 8702798,9260277",TRUE,PMID: 16368060,Look at table 1 ,,,,,,,,,,,,,,20.12
Cxcl1-Xcr1,Cxcl1,Xcr1,Ramilowski,Not Expressed,Secreted,Chemokine,10518929,FALSE,,,,,,,,,,,,,,,,20.12
Cxcl10-Ccr3,Cxcl10,Ccr3,Ramilowski,Not Expressed,Secreted,Chemokine,",11110785",TRUE,PMID: 11110785,"Cxcl10=IP-10, Cxcl10 is a competetive antagonist of Ccr3",,,,,,,,,,,,,,20.12
Cxcl11-Ackr3,Cxcl11,Ackr3,Ramilowski,Not Expressed,Other,Other,,TRUE,PMID: 22989616,Ackr3=Cxcr7,,,,,,,,,,,,,,20.12
Cxcl11-Ccr3,Cxcl11,Ccr3,Ramilowski,Not Expressed,Other,Other,",11110785",TRUE,PMID: 11110785,"Cxcl11=I-TAC, Cxcl11 is a competetive antagonist of CCR-3",,,,,,,,,,,,,,20.12
Cxcl11-Cxcr3,Cxcl11,Cxcr3,Ramilowski,Not Expressed,Other,Other,"12884299,15761110,15273303, 9625760",TRUE,PMID: 16368060,Look at table 1 ,,,,,,,,,,,,,,20.12
Cxcl13-Ackr4,Cxcl13,Ackr4,Ramilowski,Not Expressed,Secreted,Chemokine,10706668,TRUE,PMID: 27375622,Look at table 1 ,,,,,,,,,,,,,,20.12
Cxcl13-Ccr10,Cxcl13,Ccr10,Ramilowski,Not Expressed,Secreted,Chemokine,10706668,FALSE,,,,,,,,,,,,,,,,20.12
Cxcl13-Cxcr3,Cxcl13,Cxcr3,Ramilowski,Not Expressed,Secreted,Chemokine,11554781,TRUE,,,,,,,,,,,,,,,,20.12
Cxcl13-Cxcr5,Cxcl13,Cxcr5,Ramilowski,Not Expressed,Secreted,Chemokine,"9463416,,9486651, 9463416",TRUE,PMID: 16368060,Look at table 1 ,,,,,,,,,,,,,,20.12
Cxcl2-Cxcr1,Cxcl2,Cxcr1,Ramilowski,Not Expressed,Secreted,Chemokine,129.648.828.702.798,FALSE,,,,,,,,,,,,,,,,20.12
Cxcl5-Cxcr1,Cxcl5,Cxcr1,Ramilowski,Not Expressed,Secreted,Chemokine,"12964882,12964882,9692902,9692902, 8702798,10593335, 9692902",TRUE,,Look at the introduction,,,,,,,,,,,,,,20.12
Cxcl5-Cxcr2,Cxcl5,Cxcr2,Ramilowski,Not Expressed,Secreted,Chemokine,"12964882,8702798,9692902,9692902, 8702798,10593335, 9692902",TRUE,PMID: 16368060,Look at table 1 ,,,,,,,,,,,,,,20.12
Cxcl9-Ccr3,Cxcl9,Ccr3,Ramilowski,Not Expressed,Secreted,Chemokine,",11110785",TRUE,PMID: 11110785,"Cxcl9=MIG, Cxcl9 is a competetive antagonist of Ccr3 ",,,,,,,,,,,,,,20.12
Cxcl9-Cxcr3,Cxcl9,Cxcr3,Ramilowski,Not Expressed,Secreted,Chemokine,"12884299,9660793, 15761110,9660793, 12782716",TRUE,PMID: 16368060,Look at table 1,,,,,,,,,,,,,,20.12
Dcn-Erbb4,Dcn,Erbb4,Ramilowski,Not Expressed,ECM,Other,NA,FALSE,PMID: 18706412 PMID: 10942781 ,"Dcn binds Erbb Receptors directly, but Im not sure if they specifically bind subtyp 4. In any case this wouldn't be an interaction mediating adhesion",,,,,,,,,,,,,,20.12
Dlk2-Notch1,Dlk2,Notch1,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 30446682,"Dlk2 is a ligand of Notch1, not 100% sure if its a receptor",,,,,,,,,,,,,,20.12
Dcpp3-Cxcr4,Dcpp3,Cxcr4,Ramilowski,Not Expressed,Other,Other,NA,FALSE,,"It is very hard to find anything about the protein/gene Dcpp3, on stringnetworks are no known interactions listed",,,,,,,,,,,,,,20.12
Dcpp3-Tlr2,Dcpp3,Tlr2,Ramilowski,Not Expressed,Other,Other,NA,FALSE,,"It is very hard to find anything about the protein/gene Dcpp3, on stringnetworks are no known interactions listed",,,,,,,,,,,,,,20.12
Dcpp3-Tlr4,Dcpp3,Tlr4,Ramilowski,Not Expressed,Other,Other,NA,FALSE,,"It is very hard to find anything about the protein/gene Dcpp3, on stringnetworks are no known interactions listed",,,,,,,,,,,,,,20.12
Dcpp3-Tlr5,Dcpp3,Tlr5,Ramilowski,Not Expressed,Other,Other,NA,FALSE,,"It is very hard to find anything about the protein/gene Dcpp3, on stringnetworks are no known interactions listed",,,,,,,,,,,,,,20.12
Dcpp3-Tlr6,Dcpp3,Tlr6,Ramilowski,Not Expressed,Other,Other,NA,FALSE,,"It is very hard to find anything about the protein/gene Dcpp3, on stringnetworks are no known interactions listed",,,,,,,,,,,,,,20.12
Defb1-Ccr6,Defb1,Ccr6,Ramilowski,Not Expressed,Secreted,Other,12149255,TRUE,,Defb1=Defensin Beta 1 ,,,,,,,,,,23.12,,,,
Defb14-Ccr2,Defb14,Ccr2,Ramilowski,Not Expressed,Secreted,Other,NA,TRUE,PMID: 20483750,Defb14=Defensin Beta 14,,,,,,,,,,23.12,,,,
Defb3-Ccr6,Defb3,Ccr6,Ramilowski,Not Expressed,Secreted,Other,10521347,TRUE,PMID: 24956228,Defb3=HBD-3,,,,,,,,,,23.12,,,,
Defb4-Ccr6,Defb4,Ccr6,Ramilowski,Not Expressed,Secreted,Other,1.052.134.711.714.830,TRUE,PMID: 20068036,Defb4=Defb2,,,,,,,,,,23.12,,,,
Defb4-Tlr4,Defb4,Tlr4,Ramilowski,Not Expressed,Secreted,Other,12411706,TRUE,,"Defb4=Defb2, Tlr4=Toll like receptor 4",,,,,,,,,,23.12,,,,
Dhh-Ptch2,Dhh,Ptch2,Ramilowski,Not Expressed,Secreted,Other,98.118.519.811.851,TRUE,PMID: 9811851,"Look at the full paper, at the results",,,,,,,,,,23.12,,,,
Dkk1-Kremen2,Dkk1,Kremen2,Ramilowski,Not Expressed,Secreted,Other,12050670,TRUE,,,,,,,,,,,,23.12,,,,
Dkk2-Kremen2,Dkk2,Kremen2,Ramilowski,Not Expressed,Secreted,Other,NA,TRUE,PMID: 12527209,,,,,,,,,,,23.12,,,,
Dll4-Notch4,Dll4,Notch4,Ramilowski,Not Expressed,Membrane,Other,"16219802,12814940",TRUE,,,,,,,,,,,,23.12,,,,
Drd2-Gnai2,Drd2,Gnai2,Ramilowski,Not Expressed,Membrane,Other,NA,FALSE,,Gnai2 is G protein,,,,,,,,,,23.12,,,,
Eda-Eda2r,Eda,Eda2r,Ramilowski,Not Expressed,Both,Other,"12084975,11039935,11039935, 12270937",TRUE,PMID: 11039935,Eda-A2 binds Eda2r,,,,,,,,,,23.12,,,,
Ear6-Tlr2,Ear6,Tlr2,Ramilowski,Not Expressed,Other,Other,NA,FALSE,,,,,,,,,,,,23.12,,,,
Eda-Edar,Eda,Edar,Ramilowski,Not Expressed,Both,Other,120.849.751.103.993.000.000.000,TRUE,,Eda-A1 binds Edar,,,,,,,,,,23.12,,,,
Efna2-Epha3,Efna2,Epha3,Ramilowski,Not Expressed,Membrane,Other,93.308.639.751.130,TRUE,PMID: 9751130,soluble extracellular domain of Epha3 ,,,,,,,,,,23.12,,,,
Edn2-Ednra,Edn2,Ednra,Ramilowski,Not Expressed,Secreted,Other,"2175397, 9082970,7647976",TRUE,PMID: 25772936,"Look at the full paper, at the introduction",,,,,,,,,,23.12,,,,
Edn2-Ednrb,Edn2,Ednrb,Ramilowski,Not Expressed,Secreted,Other,NA,TRUE,PMID: 25772936,"Look at the full paper, at the introduction",,,,,,,,,,23.12,,,,
Edn2-Kel,Edn2,Kel,Ramilowski,Not Expressed,Secreted,Other,10438732,FALSE,,"It is not the inetraction we are looking for, Kell is related to a endopeptidase family, that cleave Edn2(=ET-2)",,,,,,,,,,23.12,,,,
Efemp2-Catsper1,Efemp2,Catsper1,Ramilowski,Not Expressed,Secreted,Other,16189514,FALSE,,,,,,,,,,,,23.12,,,,
Efemp2-Lingo1,Efemp2,Lingo1,Ramilowski,Not Expressed,Secreted,Other,16189514,FALSE,,,,,,,,,,,,23.12,,,,
Efna1-Epha1,Efna1,Epha1,Ramilowski,Not Expressed,Secreted,Other,"9330863,8755474, 11519828",TRUE,PMID: 10601711,,,,,,,,,,,23.12,,,,
Efna1-Epha3,Efna1,Epha3,Ramilowski,Not Expressed,Secreted,Other,93.308.638.070.404,TRUE,PMID: 10601711,,,,,,,,,,,23.12,,,,
Efna1-Epha6,Efna1,Epha6,Ramilowski,Not Expressed,Secreted,Other,93.308.638.755.474,TRUE,PMID: 10601711,,,,,,,,,,,23.12,,,,
Efna1-Epha7,Efna1,Epha7,Ramilowski,Not Expressed,Secreted,Other,93.308.638.755.474,TRUE,PMID: 10601711,,,,,,,,,,,23.12,,,,
Efna1-Epha8,Efna1,Epha8,Ramilowski,Not Expressed,Secreted,Other,10515610,TRUE,PMID: 10601711,,,,,,,,,,,23.12,,,,
Efna2-Epha6,Efna2,Epha6,Ramilowski,Not Expressed,Membrane,Other,9330863,TRUE,PMID: 10601711,"Good overview, look at the full paper, Fig. 1",,,,,,,,,,,,,,
Efna2-Epha7,Efna2,Epha7,Ramilowski,Not Expressed,Membrane,Other,9330863,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Efna2-Epha8,Efna2,Epha8,Ramilowski,Not Expressed,Membrane,Other,9330863,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Efna3-Epha1,Efna3,Epha1,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Efna3-Epha2,Efna3,Epha2,Ramilowski,Not Expressed,Membrane,Other,933.086.312.907.451,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Efna3-Epha3,Efna3,Epha3,Ramilowski,Not Expressed,Membrane,Other,9330863,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Efna3-Epha4,Efna3,Epha4,Ramilowski,Not Expressed,Membrane,Other,933.086.312.496.762,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Efna3-Epha5,Efna3,Epha5,Ramilowski,Not Expressed,Membrane,Other,933.086.310.516.308,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Efna3-Epha6,Efna3,Epha6,Ramilowski,Not Expressed,Membrane,Other,9330863,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Efna3-Epha7,Efna3,Epha7,Ramilowski,Not Expressed,Membrane,Other,933.086.310.366.629,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Efna3-Epha8,Efna3,Epha8,Ramilowski,Not Expressed,Membrane,Other,9330863,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Efna3-Ephb1,Efna3,Ephb1,Ramilowski,Not Expressed,Membrane,Other,9330863,FALSE,,,,,,,,,,,,,,,,
Efna4-Epha2,Efna4,Epha2,Ramilowski,Not Expressed,Membrane,Other,"9330863,10607706, 8755474",TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Efna4-Epha3,Efna4,Epha3,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Efna4-Epha4,Efna4,Epha4,Ramilowski,Not Expressed,Membrane,Other,10366629,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Efna4-Epha5,Efna4,Epha5,Ramilowski,Not Expressed,Membrane,Other,"9330863,10607706, 8755474",TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Efna4-Epha6,Efna4,Epha6,Ramilowski,Not Expressed,Membrane,Other,933.086.310.607.706,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Efna4-Epha7,Efna4,Epha7,Ramilowski,Not Expressed,Membrane,Other,8755474,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Efna4-Epha8,Efna4,Epha8,Ramilowski,Not Expressed,Membrane,Other,10515610,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Efna5-Epha3,Efna5,Epha3,Ramilowski,Not Expressed,Membrane,Other,"9330863,9751130, 9195962, 9245480",TRUE,PMID: 9245480,"Efna5=LERK7, ",Epha3=Hek,,,,,,,,,,,,,
Efna5-Epha6,Efna5,Epha6,Ramilowski,Not Expressed,Membrane,Other,9330863,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Efna5-Epha7,Efna5,Epha7,Ramilowski,Not Expressed,Membrane,Other,10366629,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Efna5-Epha8,Efna5,Epha8,Ramilowski,Not Expressed,Membrane,Other,933.086.311.416.136,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Efna5-Ephb2,Efna5,Ephb2,Ramilowski,Not Expressed,Membrane,Other,1.510.785.715.107.850,TRUE,PMID: 28171762,You can find it in the full text ofe the paper,,,,,,,,,,,,,,
Efna5-Ephb6,Efna5,Ephb6,Ramilowski,Not Expressed,Membrane,Other,NA,FALSE,,,,,,,,,,,,,,,,
Efnb1-Ephb2,Efnb1,Ephb2,Ramilowski,Not Expressed,Membrane,Other,93.308.638.878.483,TRUE,PMID: 28171762,You can find it in the full text of the paper,,,,,,,,,,,,,,
Efnb1-Ephb3,Efnb1,Ephb3,Ramilowski,Not Expressed,Membrane,Other,9330863,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Efnb1-Ephb6,Efnb1,Ephb6,Ramilowski,Not Expressed,Membrane,Other,11713248,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Efnb1-Erbb2,Efnb1,Erbb2,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 23811940,Look at the results,,,,,,,,,,,,,,
Efnb2-Epha3,Efnb2,Epha3,Ramilowski,Not Expressed,Membrane,Other,8559144,TRUE,PMID: 8559144,"Hek=Epha3, Efnb2= LERK5",,,,,,,,,,,,,,
Efnb2-Epha6,Efnb2,Epha6,Ramilowski,Not Expressed,Membrane,Other,NA,FALSE,,,,,,,,,,,,,,,,
Efnb2-Ephb2,Efnb2,Ephb2,Ramilowski,Not Expressed,Membrane,Other,933.086.311.780.069,TRUE,PMID: 28171762,You can find it in the full text of the paper,,,,,,,,,,,,,,
Efnb2-Ephb3,Efnb2,Ephb3,Ramilowski,Not Expressed,Membrane,Other,9330863,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Efnb2-Ephb6,Efnb2,Ephb6,Ramilowski,Not Expressed,Membrane,Other,10648835,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Efnb2-Grm1,Efnb2,Grm1,Ramilowski,Not Expressed,Membrane,Other,15745950,FALSE,,"Grm1 is coupled to G-Protein, probably works as a ternary complex with Efnb2/NMDA",,,,,,,,,,,,,,
Efnb2-Grm5,Efnb2,Grm5,Ramilowski,Not Expressed,Membrane,Other,15745950,FALSE,,"Grm1 is coupled to G-Protein, probably works as a ternary complex with Efnb2/NMDA",,,,,,,,,,,,,,
Efnb3-Ephb2,Efnb3,Ephb2,Ramilowski,Not Expressed,Membrane,Other,9330863,TRUE,PMID: 28171762,You can find in the full text of the paper,,,,,,,,,,,,,,
Efnb3-Ephb3,Efnb3,Ephb3,Ramilowski,Not Expressed,Membrane,Other,93.308.639.484.836,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Egf-Egfr,Egf,Egfr,Ramilowski,Not Expressed,Secreted,GrowthFactor,"6289330,,12093292, 12620237, 10788520, 16274239, 15620700, 12297050",TRUE,PMID: 12093292,,,,,,,,,,,,,,,
Egf-Erbb2,Egf,Erbb2,Ramilowski,Not Expressed,Secreted,GrowthFactor,12093292,FALSE,PMID: 24269963,Erbb2 can only bind EGF as a heterodimer with Erbb1,,,,,,,,,,,,,,
Egf-Erbb3,Egf,Erbb3,Ramilowski,Not Expressed,Secreted,GrowthFactor,12093292,FALSE,PMID: 24269963,Erbb3 can oly bind EGF as a heterodimer with Erbb1,,,,,,,,,,,,,,
Egf-Erbb4,Egf,Erbb4,Ramilowski,Not Expressed,Secreted,GrowthFactor,NA,FALSE,PMID: 24269963,Erbb4 can only bind EGF as a heterodimer with Erbb1,,,,,,,,,,,,,,
Egfr-Areg,Egfr,Areg,Ramilowski,Not Expressed,Secreted,GrowthFactor,NA,TRUE,PMID: 27635238,Low affinity binding,,,,,,,,,,,,,,
Egfr-Cdh1,Egfr,Cdh1,Ramilowski,Not Expressed,Membrane,Other,NA,FALSE,,Located on same cell,,,,,,,,,,,,,,
Egfr-Egf,Egfr,Egf,Ramilowski,Not Expressed,Secreted,GrowthFactor,NA,TRUE,PMID: 12093292,,,,,,,,,,,,,,,
Egfr-Epgn,Egfr,Epgn,Ramilowski,Not Expressed,Secreted,GrowthFactor,NA,TRUE,PMID: 27635238,Low affinity binding,,,,,,,,,,,,,,
Epgn-Egfr,Epgn,Egfr,Ramilowski,Not Expressed,Membrane,GrowthFactor,,TRUE,PMID: 27635238,Low affinity binding,,,,,,,,,,,,,,
Epha1-Efna3,Epha1,Efna3,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Epha2-Efna3,Epha2,Efna3,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Epha2-Efna4,Epha2,Efna4,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Epha3-Adam10,Epha3,Adam10,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,,,,,,,,,,,,,,,,
Epha3-Efna2,Epha3,Efna2,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 9751130,soluble extracellular domain of Epha3,,,,,,,,,,,,,,
Epha3-Efna3,Epha3,Efna3,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Epha3-Efna4,Epha3,Efna4,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Epha3-Efna5,Epha3,Efna5,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 9245480,"Epha3=Hek, Efna5=LERK7",,,,,,,,,,,,,,
Epha3-Efnb2,Epha3,Efnb2,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 8559144,"Epha3=Hek, Efnb2=LERK5",,,,,,,,,,,,,,
Epha4-Efna3,Epha4,Efna3,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Epha4-Efna4,Epha4,Efna4,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Epha5-Efna3,Epha5,Efna3,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Epha5-Efna4,Epha5,Efna4,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Epha6-Efna2,Epha6,Efna2,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Epha6-Efna3,Epha6,Efna3,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Epha6-Efna4,Epha6,Efna4,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Epha6-Efna5,Epha6,Efna5,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Epha6-Efnb2,Epha6,Efnb2,Ramilowski,Not Expressed,Membrane,Other,NA,FALSE,,,,,,,,,,,,,,,,
Epha7-Efna2,Epha7,Efna2,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Epha7-Efna3,Epha7,Efna3,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Epha7-Efna4,Epha7,Efna4,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Epha7-Efna5,Epha7,Efna5,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Epha8-Efna2,Epha8,Efna2,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Epha8-Efna3,Epha8,Efna3,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Epha8-Efna4,Epha8,Efna4,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Epha8-Efna5,Epha8,Efna5,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Ephb1-Efna3,Ephb1,Efna3,Ramilowski,Not Expressed,Membrane,Other,NA,FALSE,,,,,,,,,,,,,,,,
Ephb2-Efna5,Ephb2,Efna5,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 28171762,You can find it in the full text of the paper,,,,,,,,,,,,,,
Ephb2-Efnb1,Ephb2,Efnb1,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Ephb2-Efnb2,Ephb2,Efnb2,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Ephb2-Efnb3,Ephb2,Efnb3,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Ephb3-Efnb1,Ephb3,Efnb1,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Ephb3-Efnb2,Ephb3,Efnb2,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Ephb3-Efnb3,Ephb3,Efnb3,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Ephb6-Efna5,Ephb6,Efna5,Ramilowski,Not Expressed,Membrane,Other,NA,FALSE,,,,,,,,,,,,,,,,
Ephb6-Efnb1,Ephb6,Efnb1,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Ephb6-Efnb2,Ephb6,Efnb2,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 10601711,,,,,,,,,,,,,,,
Erbb2-Efnb1,Erbb2,Efnb1,Ramilowski,Not Expressed,Membrane,Other,NA,TRUE,PMID: 23811940,Look at the results,,,,,,,,,,,,,,
Epo-Epor,Epo,Epor,Ramilowski,Not Expressed,Secreted,Other,"9442088,16982323,10318834, 9808045",TRUE,PMID: 10318834,Epor=Epo receptor,,,,,,,,,,23.12,,,,
Erbb2-Egf,Erbb2,Egf,Ramilowski,Not Expressed,Secreted,Other,NA,FALSE,PMID: 24269963,Erbb2 can only bind EGF as a heterodimer with Erbb1,,,,,,,,,,30.11,,,,
Erbb2-H2-D1,Erbb2,H2-D1,Ramilowski,Not Expressed,Membrane,Other,NA,FALSE,PMID: 23170258,Inverse correlation in their expression,,"pression, havent read anything about a physical interaction",,,,,,,,30.11,,,,
Erbb2-L1cam,Erbb2,L1cam,Ramilowski,Not Expressed,Membrane,Other,NA,FALSE,PMID: 22815787,They interact but I think it is a cis interaction ,,,,,,,,,,30.11,,,,
Erbb2-Sema4d,Erbb2,Sema4d,Ramilowski,Not Expressed,Membrane,Other,NA,FALSE,PMID: 18025083,PMID: 15210733,"Sema4d binds Plexin-B1, Plexin-B1 interacts with Erbb2",,,,,,,,,30.11,,,,
Erbb3-Areg,Erbb3,Areg,Ramilowski,Not Expressed,Secreted,Other,NA,TRUE,PMID: 28399526,PMID: 19440932,,,,,,,,,,30.11,,,,
Erbb3-Egf,Erbb3,Egf,Ramilowski,Not Expressed,Secreted,Other,NA,FALSE,PMID: 24269963,Erbb3 can only bing EGF as a heterodimer with Erbb1,,,,,,,,,,30.11,,,,
Erbb4-Egf,Erbb4,Egf,Ramilowski,Not Expressed,Membrane,Other,NA,FALSE,PMID: 24269963,Erbb4 can olny bind EGF as a heterodimer with Erbb1,,,,,,,,,,30.11,,,,
F11r-Cgn,F11r,Cgn,Ramilowski,Not Expressed,Membrane,Other,NA,FALSE,,Cgn is a cytosolic protein,,,,,,,,,,30.11,,,,
Ereg-Egfr,Ereg,Egfr,Ramilowski,Not Expressed,Secreted,GrowthFactor,"8626392,,9419975",TRUE,,Ereg=Epiregulin,,,,,,,,,,23.12,,,,
Ereg-Erbb4,Ereg,Erbb4,Ramilowski,Not Expressed,Secreted,GrowthFactor,",9419975",TRUE,PMID: 9419975,Ereg=Epiregulin,,,,,,,,,,23.12,,,,
F11-Gp1ba,F11,Gp1ba,Ramilowski,Not Expressed,Secreted,Other,11696542,TRUE,,Gp1ba=Glycoprotein Ibalpha,,,,,,,,,,23.12,,,,
F2-F2r,F2,F2r,Ramilowski,Not Expressed,ECM,Other,"11356985,10644723, 12563219, 9058715, 10978167",FALSE,,F2r is a G-Protein,,,,,,,,,,30.11,,,,
F12-Cd93,F12,Cd93,Ramilowski,Not Expressed,Secreted,Other,"11204562, 8710908",TRUE,,Cd93=C1qr,,,,,,,,,,23.12,,,,
F12-Gp1ba,F12,Gp1ba,Ramilowski,Not Expressed,Secreted,Other,10801853,TRUE,,Gp1ba=Glycoprotein Ibalpha,,,,,,,,,,23.12,,,,
F2-F2rl1,F2,F2rl1,Ramilowski,Not Expressed,ECM,Other,1.135.698.510.978.160,FALSE,,F2rl1 is a G-Protein,,,,,,,,,,30.11,,,,
F2-F2rl2,F2,F2rl2,Ramilowski,Not Expressed,ECM,Other,1.135.698.512.732.210,FALSE,,F2rl2 is G-Protein,,,,,,,,,,30.11,,,,
F2-F2rl3,F2,F2rl3,Ramilowski,Not Expressed,ECM,Other,1.273.221.212.732.210,FALSE,,F2rl3 is a G-Protein,,,,,,,,,,30.11,,,,
F2-Gp1ba,F2,Gp1ba,Ramilowski,Not Expressed,ECM,Other,"2933256, 11024046",FALSE,,"Gp1ba binds GP9 and GP5 -> GPIb-IX-V complex, this complex binds vWF",,,,,,,,,,30.11,,,,
F2-Gp9,F2,Gp9,Ramilowski,Not Expressed,ECM,Other,NA,FALSE,,"Gp1ba binds GP9 and GP5 -> GPIb-IX-V complex, this complex binds vWF",,,,,,,,,,30.11,,,,
F2-Thbd,F2,Thbd,Ramilowski,Not Expressed,ECM,Other,"7615164, 8663147, 14691232",Irrelevant,,"Thbd is the receptor of F2, but I dont think it is a type of interaction we are looking for. F2 is an enzyme in the plasma ",,,,,,,,,,30.11,,,,
Fat4-Dchs1,Fat4,Dchs1,Ramilowski,Not Expressed,Membrane,Other,NA,FALSE,PMID: 26116666,"""putative binding partner""",,,,,,,,,,30.11,,,,
F7-F3,F7,F3,Ramilowski,Not Expressed,Secreted,Other,"12787023,12787023, 9925787",TRUE,PMID: 3261869,F3=Tissue factor,,,,,,,,,,23.12,,,,
F8-Asgr2,F8,Asgr2,Ramilowski,Not Expressed,Secreted,Other,15946216,FALSE,,"F8 binds to Asgr=Asialoglycoprotein Receptor 1, did not find anything about it binding to Asgr2",,,,,,,,,,23.12,,,,
F9-Lrp1,F9,Lrp1,Ramilowski,Not Expressed,Secreted,Other,1.156.094.312.522.210,FALSE,,Could not find anything about it,,,,,,,,,,23.12,,,,
